Ticker,2023_MarketCap
HES,48523145216
HFBL,36467964
HFWA,615397056
HGV,4361581568
HHS,51373008
HI,3347643904
HIBB,1030395520
HIFS,368244224
HIG,28655702016
HII,10968781824
HIW,2833608704
HL,2917431040
HLF,863154944
HLI,8808946688
HLIT,1201902592
HLNE,6242131456
HLT,49329074176
HLX,1637345152
HMN,1508960000
HMNF,88804944
HMST,231005600
HNI,1983698048
HNRG,186678528
HOFT,181204704
HOG,4626314240
HOLX,17785643008
HOMB,4754872832
HON,125503070208
HONE,466765088
HOPE,1208512256
HOV,918044992
HP,3886850304
HPE,22097111040
HPP,834939072
HPQ,27485532160
HQY,6798775296
HR,5492964864
HRB,6589576192
HRI,4057560832
HRL,19475785728
HROW,360538496
HRTG,312798656
HRTX,348763264
HSIC,8901164032
HSII,595690560
HSON,46743512
HST,13466236928
HSTM,783353920
HSY,39600791552
HTBI,448331360
HTBK,486353600
HTH,1909709568
HTLD,785601920
HTLF,1801912192
HUBB,19890550784
HUBG,2510625024
HUBS,30795565056
HUM,36402147328
HUN,4127661056
HURC,117759144
HURN,1722552960
HUSA,17559304
HVT,501587232
HWBK,127945064
HWC,3931772416
HWKN,1587108608
HXL,5336775680
HY,1024319040
HZO,550175552
IAC,4094426112
IART,2292826112
IBCP,518665440
IBIO,14725580
IBKR,47982018560
IBM,152363024384
IBOC,3459760640
IBP,6703359488
IBTX,1540972672
ICAD,37686504
ICCC,38056720
ICD,28548916
ICE,73834717184
ICFI,2703503872
ICHR,1278452480
ICUI,2385830656
IDA,4804796416
IDCC,2504454400
IDN,62288768
IDT,902275328
IDXG,6214488
IDXX,40925736960
IESC,2732328960
IEX,16687808512
IFF,21612754944
III,162889616
IIIN,625150656
IIIV,757891712
IIPR,2929177344
ILMN,19596328960
ILPT,231764896
IMKTA,1362848256
IMMR,230464096
IMXI,682406464
INBK,268934912
INCY,11686578176
INDB,2132813696
INFN,1115454080
INFU,159697904
INGN,160118928
INGR,7517654016
INN,646633984
INO,296630560
INOD,167916944
INPX,10239505
INSE,225788048
INSG,47871968
INSM,3672279808
INSP,7321645568
INSW,2711935744
INTC,129706819584
INTG,45067884
INTT,139169856
INTU,175160459264
INUV,46720312
INVA,955364480
INVE,117588240
INVH,20946987008
IONS,6017605632
IOR,69882072
IOSP,2993615872
IOVA,3290236416
IP,12135779328
IPAR,3726685440
IPG,11488786432
IPGP,3871318528
IPI,266787184
IPWR,57572976
IQV,42185383936
IR,37657792512
IRBT,246162496
IRDM,3738799104
IRIX,46320480
IRM,22720800768
IRMD,514293184
IROQ,55351396
IRT,3643201024
IRTC,3410239232
IRWD,1231916672
ISDR,44161056
ISRG,131461128192
ISSC,113140800
ISTR,163162928
IT,32115509248
ITCI,7565542400
ITGR,3740017920
ITI,191551360
ITIC,302227648
ITRI,4222946816
ITT,10639534080
ITW,72926642176
IVAC,112450744
IVR,416087456
IVZ,6373665792
IZEA,46232232
JACK,1114930944
JAGX,61666992
JAKK,204197744
JAZZ,6981624832
JBGS,1376154240
JBHT,16776736768
JBL,14153264128
JBLU,1931966848
JBSS,1156529920
JBT,2835752448
JCI,44345012224
JCTCF,18330104
JEF,9130614784
JELD,1762471040
JHG,5034131456
JILL,267835184
JJSF,2660652544
JKHY,11854845952
JLL,8582761984
JNJ,348430073856
JNPR,11316081664
JOB,34187040
JOE,3340337152
JOUT,421734528
JPM,550694551552
JRVR,336240256
JVA,9305018
JWN,3103534592
JYNT,178332256
K,19774177280
KAI,3215088640
KALA,19208190
KALU,1454065664
KALV,478837216
KAMN,1307481984
KAR,1860628352
KBH,4916268544
KBR,8744237056
KDP,45682712576
KE,520512352
KELYA,809392064
KEQU,102641072
KEX,6380940288
KEY,13660823552
KEYS,25823815680
KFFB,31457342
KFRC,1205431680
KFY,3168381696
KHC,46935863296
KIDS,704785088
KIM,12559096832
KINS,49535100
KIRK,24688660
KKR,82782879744
KLAC,92806004736
KLIC,2607465984
KLXE,110896696
KMB,45970878464
KMI,40570265600
KMPR,3751391488
KMT,1865218432
KMX,10697662464
KN,1420652288
KNSA,1327998592
KNSL,8455152128
KNX,7443445760
KO,266302210048
KOD,168637024
KODK,359631424
KOP,1085361664
KOPN,93084408
KOS,2673682944
KPTI,119959976
KR,39967080448
KRC,4005874432
KREF,652243840
KRG,4863950336
KRNY,347959808
KRO,1317059072
KRYS,4366139904
