Ticker,2023_PE,Gsector
CWT,20.725739,Utilities
CXW,17.32558,Industrials
CYAN,,Consumer Defensive
CYCC,-0.0869922,Healthcare
CYH,14.347826,Healthcare
CYRX,-16.19,Industrials
CYTK,-18.638298,Healthcare
CZNC,9.6875,Financial Services
CZR,15.242554,Consumer Cyclical
CZWI,7.801419,Financial Services
D,14.994117,Utilities
DAIO,9.499999,Technology
DAKT,11.8125,Technology
DAL,6.868313,Industrials
DAN,8.177632,Consumer Cyclical
DAR,9.853488,Consumer Defensive
DARE,-3.8437502,Healthcare
DBD,6.750533,Technology
DBI,8.522936,Consumer Cyclical
DBX,10.672811,Technology
DCI,19.889805,Industrials
DCO,14.698369,Industrials
DCOM,6.642336,Financial Services
DCPH,-15.99367,Healthcare
DD,17.386091,Basic Materials
DDD,inf,Technology
DDS,14.110502,Consumer Cyclical
DE,14.248635,Industrials
DEA,46.76,Real Estate
DECK,26.967709,Consumer Cyclical
DEI,-19.041666,Real Estate
DELL,14.560747,Technology
DENN,10.837838,Consumer Cyclical
DFIN,16.222223,Financial Services
DFS,9.688838,Financial Services
DG,16.85109,Consumer Defensive
DGICA,12.0,Financial Services
DGII,13.506608,Technology
DGLY,-0.23237884,Communication Services
DGX,14.59134,Healthcare
DHI,9.234608,Consumer Cyclical
DHIL,,Financial Services
DHR,28.445213,Healthcare
DHX,10.173912,Technology
DIN,6.447368,Consumer Cyclical
DIOD,18.577608,Technology
DIS,20.090414,Communication Services
DIT,,Consumer Defensive
DJCO,,Technology
DK,19.52143,Energy
DKS,14.002788,Consumer Cyclical
DLA,-3.219178,Consumer Cyclical
DLB,19.91282,Industrials
DLHC,11.178947,Industrials
DLR,110.14286,Real Estate
DLTH,-35.083336,Consumer Cyclical
DLTR,14.473684,Consumer Defensive
DLX,5.843195,Communication Services
DMRC,-19.757008,Technology
DNLI,-5.96139,Healthcare
DNOW,13.064814,Industrials
DOC,32.649124,Real Estate
DOCU,16.125357,Technology
DOMO,-50.2,Technology
DOOR,13.348439,Industrials
DORM,14.242671,Consumer Cyclical
DOV,18.020102,Industrials
DOW,13.232558,Basic Materials
DPZ,29.518684,Consumer Cyclical
DRH,19.347824,Real Estate
DRI,15.946986,Consumer Cyclical
DRQ,19.76087,Energy
DRRX,-0.7801626,Healthcare
DSKE,55.266663,Industrials
DSS,-2.1621249,Consumer Cyclical
DTE,15.386332,Utilities
DUK,15.522907,Utilities
DVA,13.790674,Healthcare
DVAX,22.74,Healthcare
DVN,8.916377,Energy
DWSN,-3.1674,Energy
DX,116.7,Real Estate
DXC,5.584527,Technology
DXCM,56.367256,Healthcare
DXLG,10.7,Consumer Cyclical
DXPE,12.251256,Industrials
DXYN,2.1536,Consumer Cyclical
DY,15.839367,Industrials
DZSI,1.4628358,Technology
EA,16.752972,Communication Services
EAF,172.0,Industrials
EARN,6.009091,Financial Services
EAT,13.073171,Consumer Cyclical
EB,-264.00003,Technology
EBAY,10.2669325,Consumer Cyclical
EBF,14.113475,Industrials
EBMT,7.7108436,Financial Services
EBS,0.51226157,Healthcare
EBTC,,Financial Services
ECL,31.021948,Basic Materials
ECPG,4.6587305,Financial Services
ED,16.857143,Utilities
EDIT,-1.9014598,Healthcare
EDUC,5.1428576,Communication Services
EE,15.905662,Energy
EEFT,10.673596,Technology
EEX,-71.875,Communication Services
EFC,6.6511626,Real Estate
EFOI,-7.0495453,Consumer Cyclical
EFSC,8.56081,Financial Services
EFX,23.032427,Industrials
EGAN,19.40625,Technology
EGBN,7.2795277,Financial Services
EGHT,4.9111114,Technology
EGLE,8.493894,Industrials
EGP,31.706121,Real Estate
EGRX,1.1752874,Healthcare
EGY,6.736842,Energy
EHC,18.365639,Healthcare
EHTH,85.600006,Financial Services
EIG,11.604904,Financial Services
EIGR,-0.4791667,Healthcare
EIX,12.689285,Utilities
EKSO,-5.166667,Healthcare
EL,34.118607,Consumer Defensive
ELAN,12.415095,Healthcare
ELF,46.304844,Consumer Defensive
ELMD,28.983332,Healthcare
ELOX,-1.353662,Healthcare
ELS,32.41398,Real Estate
ELSE,,Technology
EME,20.63374,Industrials
EMKR,-13.55,Technology
EML,,Industrials
EMN,10.470066,Basic Materials
EMR,18.39249,Industrials
ENG,7.0,Industrials
ENPH,21.242188,Technology
ENR,8.229226,Industrials
ENS,10.793555,Industrials
ENSG,20.061016,Healthcare
ENSV,-3.6933334,Energy
ENTA,-2.942184,Healthcare
ENTG,29.537777,Technology
ENV,19.704762,Technology
ENVA,6.3315897,Financial Services
ENZ,-2.6666667,Healthcare
EOG,10.821458,Energy
EOLS,73.56251,Healthcare
EPAM,19.720032,Technology
EPC,12.334426,Consumer Defensive
EPM,10.18868,Energy
EPR,15.089219,Real Estate
EPRT,21.590164,Real Estate
EQBK,7.7465115,Financial Services
EQC,-187.2,Real Estate
EQH,5.119279,Financial Services
EQIX,52.870632,Real Estate
EQR,39.268295,Real Estate
EQT,10.605821,Energy
ERIE,35.93052,Financial Services
ERII,22.923077,Industrials
ES,12.602911,Utilities
ESCA,6.357143,Consumer Cyclical
ESE,21.268343,Technology
ESGR,7.2592497,Financial Services
ESNT,7.524148,Financial Services
ESP,2530.0,Industrials
ESPR,39.4,Healthcare
ESRT,75.833336,Real Estate
ESS,43.66135,Real Estate
ESSA,7.941177,Financial Services
ESTC,73.53957,Technology
ETN,27.844269,Industrials
ETR,13.817358,Utilities
ETRN,14.09375,Energy
ETSY,22.663366,Consumer Cyclical
EVBG,18.582888,Technology
EVBN,10.889362,Financial Services
EVC,-11.0,Communication Services
