Ticker,2023_PE,Gsector,Avg_PE_Gsector
APD,17.597914,Basic Materials,12.4010476771875
ARCH,6.9793406,Basic Materials,12.4010476771875
ASH,16.695272,Basic Materials,12.4010476771875
ASIX,6.072116,Basic Materials,12.4010476771875
AUMN,-1.2056098,Basic Materials,12.4010476771875
AVD,11.39,Basic Materials,12.4010476771875
AVTR,19.699186,Basic Materials,12.4010476771875
AXTA,14.623256,Basic Materials,12.4010476771875
BCC,11.276216,Basic Materials,12.4010476771875
BCPC,29.639414,Basic Materials,12.4010476771875
CBT,12.019763,Basic Materials,12.4010476771875
CC,7.095491,Basic Materials,12.4010476771875
CDE,16.142857,Basic Materials,12.4010476771875
CE,11.027279,Basic Materials,12.4010476771875
CENX,18.457447,Basic Materials,12.4010476771875
CF,13.227806,Basic Materials,12.4010476771875
CLF,10.496894,Basic Materials,12.4010476771875
CLW,9.325052,Basic Materials,12.4010476771875
CMC,10.578741,Basic Materials,12.4010476771875
CMP,17.054794,Basic Materials,12.4010476771875
CMT,8.044643,Basic Materials,12.4010476771875
DD,17.386091,Basic Materials,12.4010476771875
DOW,13.232558,Basic Materials,12.4010476771875
ECL,31.021948,Basic Materials,12.4010476771875
EMN,10.470066,Basic Materials,12.4010476771875
EXP,15.57205,Basic Materials,12.4010476771875
FCX,22.803652,Basic Materials,12.4010476771875
FF,6.775,Basic Materials,12.4010476771875
FMC,11.708333,Basic Materials,12.4010476771875
FUL,15.154159,Basic Materials,12.4010476771875
GEVO,-1.6892308,Basic Materials,12.4010476771875
GLT,4.205882,Basic Materials,12.4010476771875
GORO,-4.6,Basic Materials,12.4010476771875
GPRE,9.9375,Basic Materials,12.4010476771875
HCC,12.227191,Basic Materials,12.4010476771875
HDSN,7.936,Basic Materials,12.4010476771875
HL,29.5625,Basic Materials,12.4010476771875
HUN,14.728395,Basic Materials,12.4010476771875
HWKN,20.702185,Basic Materials,12.4010476771875
IFF,20.29976,Basic Materials,12.4010476771875
IOSP,16.23816,Basic Materials,12.4010476771875
IPI,-42.808514,Basic Materials,12.4010476771875
KALU,12.017263,Basic Materials,12.4010476771875
KOP,9.749049,Basic Materials,12.4010476771875
KRO,15.472973,Basic Materials,12.4010476771875
KWR,18.287254,Basic Materials,12.4010476771875
LIN,25.726955,Basic Materials,12.4010476771875
LOOP,-20.285713,Basic Materials,12.4010476771875
LXU,26.57143,Basic Materials,12.4010476771875
LYB,10.21144,Basic Materials,12.4010476771875
MERC,22.021738,Basic Materials,12.4010476771875
MLM,24.149323,Basic Materials,12.4010476771875
MOS,10.749999,Basic Materials,12.4010476771875
MTRN,15.386882,Basic Materials,12.4010476771875
MTX,10.548481,Basic Materials,12.4010476771875
MUX,-27.95122,Basic Materials,12.4010476771875
NEM,11.288889,Basic Materials,12.4010476771875
NEU,20.407436,Basic Materials,12.4010476771875
NGVT,10.047151,Basic Materials,12.4010476771875
NTIC,17.7,Basic Materials,12.4010476771875
NUE,13.985891,Basic Materials,12.4010476771875
OLN,8.876061,Basic Materials,12.4010476771875
PPG,13.811563,Basic Materials,12.4010476771875
PZG,-2.153158,Basic Materials,12.4010476771875
RDUS,19.795454,Basic Materials,12.4010476771875
REX,14.715426,Basic Materials,12.4010476771875
RGLD,22.205175,Basic Materials,12.4010476771875
RPM,19.297834,Basic Materials,12.4010476771875
RS,14.123016,Basic Materials,12.4010476771875
RYAM,24.866665,Basic Materials,12.4010476771875
SCL,18.320087,Basic Materials,12.4010476771875
SHW,23.498823,Basic Materials,12.4010476771875
SMG,17.221106,Basic Materials,12.4010476771875
SSD,18.420551,Basic Materials,12.4010476771875
STLD,12.960159,Basic Materials,12.4010476771875
SUM,15.748988,Basic Materials,12.4010476771875
SXC,14.521128,Basic Materials,12.4010476771875
SXT,21.59882,Basic Materials,12.4010476771875
TGLS,12.858795,Basic Materials,12.4010476771875
TROX,11.326667,Basic Materials,12.4010476771875
TSE,-0.8999999,Basic Materials,12.4010476771875
UAMY,0.39285713,Basic Materials,12.4010476771875
UFPI,13.368919,Basic Materials,12.4010476771875
USAP,10.761316,Basic Materials,12.4010476771875
VMC,25.996973,Basic Materials,12.4010476771875
WDFC,38.588737,Basic Materials,12.4010476771875
WLK,15.777302,Basic Materials,12.4010476771875
WTTR,8.1769905,Basic Materials,12.4010476771875
WWR,-0.9059183,Basic Materials,12.4010476771875
X,9.811828,Basic Materials,12.4010476771875
XPL,-15.499999,Basic Materials,12.4010476771875
YTEN,-0.27752942,Basic Materials,12.4010476771875
ZEUS,16.817461,Basic Materials,12.4010476771875
AAL,4.2087226,Industrials,
AAN,10.161764,Industrials,
AAON,32.112625,Industrials,
ABM,12.071824,Industrials,
ACA,19.392857,Industrials,
ACCO,3.8560002,Industrials,
ACM,18.252964,Industrials,
ACTG,8.396552,Industrials,
ADP,24.189,Industrials,
ADT,7.6470585,Industrials,
AEIS,16.610052,Industrials,
AGCO,9.077106,Industrials,
AGX,13.51121,Industrials,
AIR,16.74092,Industrials,
AIRI,-12.4561405,Industrials,
AIT,18.071991,Industrials,
AL,9.461394,Industrials,
ALG,14.516804,Industrials,
ALGT,6.6699266,Industrials,
ALK,6.839428,Industrials,
ALLE,16.01581,Industrials,
AME,23.319094,Industrials,
AMRC,10.361386,Industrials,
AMSC,308.75003,Industrials,
AOS,18.999998,Industrials,
AP,8.913043,Industrials,
APOG,12.685832,Industrials,
APT,5.1465516,Industrials,
AQMS,-6.7000003,Industrials,
ARC,8.250001,Industrials,
ARCB,8.76759,Industrials,
ARLO,21.344828,Industrials,
ARMK,16.242268,Industrials,
ASPN,23.727272,Industrials,
ASTC,-13.455882,Industrials,
ASTE,13.483871,Industrials,
ATI,19.966555,Industrials,
ATKR,9.738889,Industrials,
ATRO,14.582609,Industrials,
ATSG,12.82,Industrials,
AVAV,46.859234,Industrials,
AWI,17.783281,Industrials,
AYI,14.966847,Industrials,
AZZ,12.655477,Industrials,
B,16.148836,Industrials,
BA,27.246754,Industrials,
BAH,25.028812,Industrials,
BBCP,9.366198,Industrials,
BBSI,14.144354,Industrials,
BCO,8.888211,Industrials,
BE,26.500002,Industrials,
BECN,11.799999,Industrials,
BGSF,9.117021,Industrials,
BLD,17.756472,Industrials,
BLDR,12.625691,Industrials,
BRC,13.501144,Industrials,
BV,14.240506,Industrials,
BW,4.08,Industrials,
BWEN,7.3103447,Industrials,
BWXT,28.002922,Industrials,
BXC,10.20186,Industrials,
CAR,5.5558786,Industrials,
CASS,14.207236,Industrials,
CAT,14.712841,Industrials,
CBZ,22.96129,Industrials,
CHRW,18.205128,Industrials,
CIX,19.559006,Industrials,
CLH,21.191277,Industrials,
CLIR,26.336666,Industrials,
CMCO,12.174041,Industrials,
CMI,13.464728,Industrials,
CODA,15.113637,Industrials,
CPRT,33.524693,Industrials,
CR,24.265163,Industrials,
CRAI,21.72006,Industrials,
CRS,17.92887,Industrials,
CSL,17.544058,Industrials,
CSWI,30.116604,Industrials,
CSX,15.238532,Industrials,
CTAS,39.996357,Industrials,
CVU,6.7692313,Industrials,
CVV,10.853658,Industrials,
CW,22.851217,Industrials,
CWST,73.49593,Industrials,
CXW,17.32558,Industrials,
CYRX,-16.19,Industrials,
DAL,6.868313,Industrials,
DCI,19.889805,Industrials,
DCO,14.698369,Industrials,
DE,14.248635,Industrials,
DLB,19.91282,Industrials,
DLHC,11.178947,Industrials,
DNOW,13.064814,Industrials,
DOOR,13.348439,Industrials,
DOV,18.020102,Industrials,
DSKE,55.266663,Industrials,
DXPE,12.251256,Industrials,
DY,15.839367,Industrials,
EAF,172.0,Industrials,
EBF,14.113475,Industrials,
EFX,23.032427,Industrials,
EGLE,8.493894,Industrials,
EME,20.63374,Industrials,
EMR,18.39249,Industrials,
ENG,7.0,Industrials,
ENR,8.229226,Industrials,
ENS,10.793555,Industrials,
ERII,22.923077,Industrials,
ESP,2530.0,Industrials,
ETN,27.844269,Industrials,
EXPD,22.041582,Industrials,
EXPO,45.053925,Industrials,
FAST,29.411257,Industrials,
FCEL,-3.7112,Industrials,
FCN,22.461134,Industrials,
FDX,12.301691,Industrials,
FELE,20.396187,Industrials,
FIX,22.388569,Industrials,
FLR,12.722398,Industrials,
FLS,15.986441,Industrials,
FORR,10.7,Industrials,
FSS,24.341318,Industrials,
FSTR,13.922156,Industrials,
FTEK,inf,Industrials,
FWRD,14.582782,Industrials,
GATX,15.333333,Industrials,
GBX,11.073991,Industrials,
GD,17.5913,Industrials,
GE,32.364002,Industrials,
GENC,5.4919095,Industrials,
GEO,10.846715,Industrials,
GFF,11.956203,Industrials,
GGG,24.3769,Industrials,
GHM,71.38462,Industrials,
GIFI,345.0,Industrials,
GLDD,9.565217,Industrials,
GMS,10.561644,Industrials,
GNK,9.526786,Industrials,
GNRC,17.210127,Industrials,
GPN,9.329027,Industrials,
GRC,17.643616,Industrials,
GTES,10.550899,Industrials,
GTLS,10.123683,Industrials,
GVA,11.077844,Industrials,
GWW,21.37703,Industrials,
HA,-8.246754,Industrials,
HAYN,12.636555,Industrials,
HEES,8.4719305,Industrials,
HEI,49.617226,Industrials,
HHS,7.019802,Industrials,
HI,11.52657,Industrials,
HII,14.636891,Industrials,
HNI,12.673717,Industrials,
HON,17.714153,Industrials,
HRI,9.041087,Industrials,
HSII,8.987804,Industrials,
HSON,8.418367,Industrials,
HTLD,18.754717,Industrials,
HUBB,21.040318,Industrials,
HUBG,14.313168,Industrials,
HURN,13.833828,Industrials,
HXL,21.989725,Industrials,
HY,6.55879,Industrials,
ICFI,18.861437,Industrials,
IEX,24.226374,Industrials,
IIIN,9.610778,Industrials,
IPWR,-6.7913046,Industrials,
IR,26.361582,Industrials,
ISSC,14.086956,Industrials,
ITT,19.807043,Industrials,
ITW,22.293152,Industrials,
IVAC,-12.441176,Industrials,
JBHT,19.193624,Industrials,
JBLU,-71.0,Industrials,
JBT,15.684859,Industrials,
JCI,15.832116,Industrials,
JELD,10.0,Industrials,
JOB,3.143,Industrials,
KAI,24.958067,Industrials,
KAMN,45.99,Industrials,
KBR,16.651281,Industrials,
KE,9.780374,Industrials,
KELYA,9.176001,Industrials,
KEX,16.73773,Industrials,
KFRC,16.69189,Industrials,
KFY,13.030044,Industrials,
KMT,14.260607,Industrials,
KNX,16.629496,Industrials,
KTOS,33.622643,Industrials,
LECO,20.927551,Industrials,
LII,20.614769,Industrials,
LIQT,-4.5932207,Industrials,
LMT,16.628399,Industrials,
LNN,20.815413,Industrials,
LPX,14.464428,Industrials,
LSTR,21.965996,Industrials,
LUV,12.905473,Industrials,
MAN,11.519083,Industrials,
MAS,15.010964,Industrials,
MATW,9.955719,Industrials,
MATX,12.5325575,Industrials,
MDU,16.802721,Industrials,
MESA,-10.219999,Industrials,
MG,9.722222,Industrials,
MGRC,17.399673,Industrials,
MHH,8.969697,Industrials,
MIDD,12.309123,Industrials,
MLI,11.751579,Industrials,
MMM,12.715415,Industrials,
MMS,15.834319,Industrials,
MNTX,7.5507245,Industrials,
MRCY,54.230774,Industrials,
MRTN,16.752476,Industrials,
MSA,21.450653,Industrials,
MSM,14.23401,Industrials,
MTRX,13.247059,Industrials,
MTW,7.9084973,Industrials,
MTZ,21.319714,Industrials,
MWA,19.8,Industrials,
MYRG,20.423832,Industrials,
NDSN,23.05268,Industrials,
NL,9.658823,Industrials,
NNBR,-71.2,Industrials,
NOC,17.611837,Industrials,
NPK,94.24138,Industrials,
NPO,17.745863,Industrials,
NSC,16.569786,Industrials,
NSP,25.796993,Industrials,
NSSC,26.601309,Industrials,
NVEE,16.357895,Industrials,
NVT,20.244383,Industrials,
NWPX,11.344086,Industrials,
NX,12.441948,Industrials,
OC,10.666455,Industrials,
ODFL,25.167591,Industrials,
OESX,-3.5833335,Industrials,
OMEX,-3.9462366,Industrials,
OPTT,-0.086547084,Industrials,
ORN,12.927273,Industrials,
OSK,9.595726,Industrials,
PANL,6.545454,Industrials,
PAYX,23.85743,Industrials,
PBI,32.769234,Industrials,
PCAR,12.324042,Industrials,
PESI,5.7828283,Industrials,
PFMT,29.555555,Industrials,
PGTI,14.090605,Industrials,
PH,20.648352,Industrials,
PKE,27.980394,Industrials,
PKOH,6.430731,Industrials,
PLUG,-4.125,Industrials,
PNR,16.546024,Industrials,
POOL,25.036602,Industrials,
POWL,18.717278,Industrials,
PPSI,6.6666665,Industrials,
PRIM,14.207316,Industrials,
PRLB,17.318182,Industrials,
PTSI,11.813792,Industrials,
PWR,26.989561,Industrials,
QRHC,29.82353,Industrials,
QUAD,3.7416663,Industrials,
R,9.032617,Industrials,
RAIL,9.184211,Industrials,
RBC,25.905722,Industrials,
RCMT,8.203464,Industrials,
REVG,10.663415,Industrials,
REZI,10.85,Industrials,
RFIL,23.833332,Industrials,
RGR,13.361272,Industrials,
RHI,17.328321,Industrials,
RLGT,9.148148,Industrials,
ROCK,13.407129,Industrials,
ROK,20.342342,Industrials,
RSG,28.526787,Industrials,
RYI,8.497024,Industrials,
SAIA,20.863827,Industrials,
