,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
BANC,12574000.0,606959000.0,423613000.0,-1899137000.0,
BAND,-43977000.0,-27362000.0,19570000.0,-16343000.0,
BANF,99586000.0,167630000.0,193100000.0,212465000.0,
BANR,115928000.0,201048000.0,195378000.0,183624000.0,
BATRA,-78000000.0,-11000000.0,-34172000.0,-125294000.0,
BATRK,-78000000.0,-11000000.0,-34172000.0,-125294000.0,
BAX,1102000000.0,1284000000.0,-2433000000.0,2656000000.0,
BBCP,-61251000.0,-15073000.0,28676000.0,31790000.0,
BBGI,-17765922.0,-1405845.0,-42057430.0,-75120138.0,
BBSI,33765000.0,38079000.0,47268000.0,50612000.0,
BBW,,-22983000.0,47265000.0,47985000.0,52805000.0
BBY,,1798000000.0,2454000000.0,1419000000.0,1241000000.0
BC,372700000.0,593300000.0,677000000.0,420400000.0,
BCBP,20857000.0,34240000.0,45579000.0,29483000.0,
BCC,174979000.0,712486000.0,857658000.0,483656000.0,
BCLI,-31811000.0,-24457000.0,-24277000.0,,
BCO,16000000.0,105200000.0,170600000.0,87700000.0,
BCOV,-5813000.0,5397000.0,-9015000.0,-22886000.0,
BCPC,84623000.0,96104000.0,105367000.0,108543000.0,
BCRX,-182814000.0,-184062000.0,-247116000.0,-226539000.0,
BDC,-55162000.0,63925000.0,254663000.0,242759000.0,
BDL,1110000.0,11784000.0,6312000.0,3999000.0,
BDN,305527000.0,12289000.0,53824000.0,-196789000.0,
BDSI,25711000.0,84860000.0,,,
BDX,874000000.0,2092000000.0,1779000000.0,1484000000.0,
BE,-157553000.0,-164445000.0,-301408000.0,-302116000.0,
BEAT,-1068000.0,-4428000.0,-12962000.0,-14639000.0,
BECN,-80900000.0,-45500000.0,458400000.0,435000000.0,
BELFA,12795000.0,24821000.0,52689000.0,73831000.0,
BELFB,12795000.0,24821000.0,52689000.0,73831000.0,
BEN,798900000.0,1831200000.0,1291900000.0,882800000.0,
BERY,559000000.0,733000000.0,766000000.0,609000000.0,
BFAM,26992000.0,70459000.0,80641000.0,74223000.0,
BFIN,9163000.0,7410000.0,10494000.0,9393000.0,
BFS,40382000.0,48389000.0,50194000.0,52689000.0,
BFST,29994000.0,52136000.0,54255000.0,71043000.0,
BG,1145000000.0,2078000000.0,1610000000.0,2243000000.0,
BGFV,55940000.0,102386000.0,26134000.0,-7083000.0,
BGS,131988000.0,67363000.0,-11370000.0,-66198000.0,
BGSF,1441468.0,14109000.0,25361000.0,-10223000.0,
BH,-37989000.0,35478000.0,-32018000.0,54948000.0,
BHB,33244000.0,39299000.0,43557000.0,44852000.0,
BHE,14055000.0,35770000.0,68229000.0,64315000.0,
BHF,-1061000000.0,1643000000.0,3879000000.0,-1112000000.0,
BHLB,-533017000.0,118664000.0,92533000.0,69598000.0,
BHR,-105262000.0,-26664000.0,17761000.0,-27017000.0,
BHVN,-118668000.0,-213796000.0,-570279000.0,-408168000.0,
BIG,,629191000.0,177778000.0,-210708000.0,-481876000.0
BIIB,4000600000.0,1556100000.0,3046900000.0,1161100000.0,
BIO,3814229000.0,4254257000.0,-3627535000.0,-637324000.0,
BIOL,-16829000.0,-16158000.0,-28634000.0,-20632000.0,
BJ,,421030000.0,426652000.0,513177000.0,523741000.0
BJRI,-57885000.0,-3606000.0,4076000.0,19660000.0,
BK,3617000000.0,3759000000.0,2573000000.0,3286000000.0,
BKD,82019000.0,-99290000.0,-238427000.0,-189011000.0,
BKE,,130139000.0,254820000.0,254626000.0,219919000.0
BKH,227608000.0,236700000.0,258400000.0,262200000.0,
BKNG,59000000.0,1165000000.0,3058000000.0,4289000000.0,
BKSC,6460631.0,6744865.0,6655140.0,,
BKTI,194000.0,-1701000.0,-11633000.0,-2230000.0,
BKU,197853000.0,414984000.0,284971000.0,178671000.0,
BL,-46911000.0,-115161000.0,-29391000.0,52833000.0,
BLBD,12185000.0,-289000.0,-45759000.0,23812000.0,
BLCM,-7722000.0,-9705000.0,-24973000.0,,
