Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
CMP,-438.0349,-88.2325,-161.753,17.054794
CMRX,298.0424,-199.3829,-147.6834,-0.9791667
CMS,79.2053,-38.1375,5.9737,16.836111
CMT,-42.7924,161.2503,66.5492,8.044643
CMTL,-1146.7236,-55.0191,-18.6161,2.80597
CNA,71.5942,-42.3986,76.6862,8.321969
CNC,-25.4978,-10.7647,124.792,9.613157
CNDT,-76.2712,550.0,62.6374,-18.529411
CNFR,-283.8655,876.3254,142.5241,-12.857142
CNK,-31.4527,-35.8562,-169.3953,10.325301
CNMD,557.1609,-228.8446,-179.9918,12.360001
CNNE,-116.0676,49.1638,-26.7928,-35.363636
CNO,88.9662,10.5734,-56.1529,7.6098266
CNOB,82.8515,-3.9447,-30.5149,8.40845
CNP,-292.238,-28.8694,-13.245,16.747126
CNS,176.0315,-19.0893,-24.5513,20.905775
CNSL,-389.5989,-230.8166,-278.83,-2.805195
CNTY,-142.9607,-61.3229,-453.5356,-13.5
CNX,3.0733,-71.5073,-1311.1151,13.066668
CNXN,25.3582,27.6271,-6.6667,16.096104
CODA,47.9778,-13.0674,-27.366,15.113637
COF,356.5217,-40.5973,-33.6005,8.892126
COHN,-16.8743,-213.3892,-61.8119,
COHR,-543.9153,-21.1032,-210.521,18.270903
COHU,-1312.4121,-42.1204,-70.9273,17.52601
COKE,9.9059,126.9005,-5.064,21.212122
COLB,-127.5892,-19.8782,3.5525,7.2346153
COLD,-224.1035,-36.1681,1629.501,56.333332
