Ticker,2023_MarketCap,Market_Cap_Cat
CDNS,75008303104,large-cap
CDTX,54649764,micro-cap
CDW,32498243584,large-cap
CDXC,266594224,small-cap
CDXS,204583488,micro-cap
CDZI,153406608,micro-cap
CE,17137192960,large-cap
CEI,24530418,micro-cap
CEIX,2450391296,mid-cap
CELC,480245408,small-cap
CELH,16610897920,large-cap
CENT,2572847616,mid-cap
CENTA,2584501760,mid-cap
CENX,1608353664,small-cap
CERS,302742624,small-cap
CETX,1204957,micro-cap
CEVA,477997024,small-cap
CF,14824722432,large-cap
CFBK,117187224,micro-cap
CFFI,131909672,micro-cap
CFFN,637906432,small-cap
CFG,15638923264,large-cap
CFR,6704293376,mid-cap
CGNX,7137444352,mid-cap
CHCI,72068408,micro-cap
CHCO,1501278336,small-cap
CHCT,734642240,small-cap
CHD,26314909696,large-cap
CHDN,9505906688,mid-cap
CHE,8597986304,mid-cap
CHEF,1316885120,small-cap
CHGG,528461888,small-cap
CHH,5873572352,mid-cap
CHK,11755853824,large-cap
CHMG,200367248,micro-cap
CHMI,104954056,micro-cap
CHRS,222456080,micro-cap
CHRW,8215552000,mid-cap
CHTR,36863037440,large-cap
CHUY,510692032,small-cap
CI,101273329664,large-cap
CIA,110546456,micro-cap
CIEN,6684997120,mid-cap
CIM,995066432,small-cap
CINF,18127349760,large-cap
CIO,187118096,micro-cap
CIVB,224013216,micro-cap
CIX,387761568,small-cap
CIZN,44204472,micro-cap
CKX,28491854,micro-cap
CL,75414937600,large-cap
CLAR,242035776,micro-cap
CLB,737297536,small-cap
CLDT,463011648,small-cap
CLDX,2466370816,mid-cap
CLF,8035544064,mid-cap
CLFD,442965824,small-cap
CLH,10351074304,large-cap
CLIR,36276256,micro-cap
CLNE,517970176,small-cap
CLPR,177998512,micro-cap
CLRB,99684944,micro-cap
CLRO,22140258,micro-cap
CLW,748591808,small-cap
CLX,18351554560,large-cap
CMA,6651889664,mid-cap
CMC,6218148352,mid-cap
CMCO,1186760192,small-cap
CMCSA,149529542656,large-cap
CMCT,76221512,micro-cap
CME,75476271104,large-cap
CMG,86785687552,large-cap
CMI,38633050112,large-cap
CMP,514325664,small-cap
CMRX,83857776,micro-cap
CMS,18100267008,large-cap
CMT,164873088,micro-cap
CMTL,53530744,micro-cap
CNA,11903301632,large-cap
CNC,38988906496,large-cap
CNDT,657225472,small-cap
CNFR,11000610,micro-cap
CNK,2097027456,mid-cap
CNMD,2093831680,mid-cap
CNNE,1220923264,small-cap
CNO,2860622848,mid-cap
CNOB,686545792,small-cap
CNP,18448447488,large-cap
CNS,3406336256,mid-cap
CNSL,511617632,small-cap
CNTY,90168904,micro-cap
CNX,3604322304,mid-cap
CNXN,1633708928,small-cap
CODA,74298456,micro-cap
COF,54804598784,large-cap
COHN,12659339,micro-cap
COHR,8293543936,mid-cap
COHU,1427644416,small-cap
COKE,7742667776,mid-cap
COLB,3938249472,mid-cap
COLD,6262240768,mid-cap
COLL,1207821568,small-cap
COLM,4735874560,mid-cap
COMM,190785856,micro-cap
CONN,87847576,micro-cap
COO,17701208064,large-cap
COOP,4996461056,mid-cap
COP,147113590784,large-cap
COR,47635492864,large-cap
CORT,2421478912,mid-cap
COST,320609058816,mega-cap
COTY,10240733184,large-cap
CPB,13626288128,large-cap
CPE,2378336768,mid-cap
CPF,539223488,small-cap
CPHC,114305856,micro-cap
CPIX,22682400,micro-cap
CPK,2357449728,mid-cap
CPRI,4135796992,mid-cap
CPRT,52217004032,large-cap
CPRX,1776065536,small-cap
CPS,266786256,small-cap
CPSH,26077936,micro-cap
CPSI,133326672,micro-cap
CPSS,180871952,micro-cap
CPT,10642734080,large-cap
CR,7993184768,mid-cap
CRAI,1003384384,small-cap
CRBP,389186688,small-cap
CRC,3634743296,mid-cap
CRI,2496869376,mid-cap
CRIS,90474128,micro-cap
CRK,2939552000,mid-cap
CRL,11795973120,large-cap
CRM,260871798784,mega-cap
CRMD,288925696,small-cap
CRMT,365883808,small-cap
CRNX,3450579456,mid-cap
CROX,7549570048,mid-cap
CRS,4234642432,mid-cap
CRUS,4777022976,mid-cap
CRVL,4082973696,mid-cap
CRVS,76009824,micro-cap
CRWS,52022756,micro-cap
CSCO,190230937600,large-cap
CSGP,37375545344,large-cap
CSGS,1407237120,small-cap
CSL,18481399808,large-cap
CSPI,127483472,micro-cap
CSTR,418353376,small-cap
CSV,387529312,small-cap
CSWI,3690832640,mid-cap
CSX,64942780416,large-cap
CTAS,66797154304,large-cap
CTBI,756978176,small-cap
CTHR,10110954,micro-cap
CTLT,10107397120,large-cap
CTMX,110402832,micro-cap
CTO,395729216,small-cap
CTRE,3337026560,mid-cap
CTRN,183032432,micro-cap
CTS,1404255104,small-cap
CTSH,32656031744,large-cap
CTSO,43988184,micro-cap
CUBE,9149993984,mid-cap
CUBI,1445546752,small-cap
CUE,92422272,micro-cap
CULP,56862744,micro-cap
CURO,2891035,micro-cap
CUTR,48304652,micro-cap
CUZ,3489105152,mid-cap
CVBF,2282436608,mid-cap
CVCO,3039922432,mid-cap
CVCY,235332512,micro-cap
CVGI,203650064,micro-cap
CVGW,479718112,small-cap
CVI,3054131712,mid-cap
CVLT,4474003968,mid-cap
CVLY,214504848,micro-cap
CVM,78809632,micro-cap
CVNA,14726591488,large-cap
CVR,15477435,micro-cap
CVS,85347098624,large-cap
CVU,33935616,micro-cap
CVV,30369068,micro-cap
CVX,297215787008,mega-cap
CW,9700917248,mid-cap
CWBC,324001344,small-cap
CWBR,2499959,micro-cap
CWEN,4603615232,mid-cap
CWH,913605376,small-cap
CWST,5252981248,mid-cap
CWT,2836881408,mid-cap
CXW,1663331712,small-cap
CYAN,3185052,micro-cap
CYCC,2794711,micro-cap
CYH,458587808,small-cap
CYRX,795973312,small-cap
CYTK,6412600320,mid-cap
CZNC,262196592,small-cap
CZR,7747866112,mid-cap
CZWI,115025904,micro-cap
D,42700492800,large-cap
DAIO,25721136,micro-cap
DAKT,418463936,small-cap
DAL,32310822912,large-cap
DAN,1801728512,small-cap
DAR,6769878528,mid-cap
DARE,30928966,micro-cap
DBD,1189361664,small-cap
DBI,531764256,small-cap
DBX,7836996608,mid-cap
DCI,8690641920,mid-cap
DCO,791942528,small-cap
DCOM,708562432,small-cap
DCPH,2077851008,mid-cap
DD,30310363136,large-cap
DDD,447623648,small-cap
DDS,7108621312,mid-cap
DE,108952109056,large-cap
DEA,1207085952,small-cap
DECK,21008650240,large-cap
DEI,2718076160,mid-cap
DELL,88966791168,large-cap
DENN,418212544,small-cap
DFIN,1848588416,small-cap
DFS,31754102784,large-cap
DG,30576007168,large-cap
DGICA,446337024,small-cap
DGII,1111627392,small-cap
DGLY,5909582,micro-cap
DGX,15350691840,large-cap
DHI,46923669504,large-cap
DHIL,420733248,small-cap
DHR,182668214272,large-cap
DHX,112387152,micro-cap
DIN,681477248,small-cap
DIOD,3371499776,mid-cap
DIS,203790729216,mega-cap
DIT,98853376,micro-cap
DJCO,461580480,small-cap
DK,1749647488,small-cap
DKS,16567162880,large-cap
DLA,16570202,micro-cap
DLB,7422649856,mid-cap
DLHC,151130032,micro-cap
DLR,44272623616,large-cap
DLTH,144873264,micro-cap
DLTR,25776490496,large-cap
DLX,869566848,small-cap
DMRC,451831552,small-cap
DNLI,2200817664,mid-cap
DNOW,1536494336,small-cap
DOC,13097383936,large-cap
DOCU,11588680704,large-cap
DOMO,286374944,small-cap
DOOR,2913210368,mid-cap
DORM,2713223680,mid-cap
DOV,24641200128,large-cap
DOW,40012423168,large-cap
DPZ,18461044736,large-cap
DRH,1885180160,small-cap
DRI,18310864896,large-cap
DRQ,625752000,small-cap
DRRX,29782144,micro-cap
DSKE,391290496,small-cap
DSS,12223392,micro-cap
DTE,22829289472,large-cap
DUK,75803656192,large-cap
DVA,12191538176,large-cap
DVAX,1487912320,small-cap
DVN,32499300352,large-cap
DWSN,48797436,micro-cap
DX,748757696,small-cap
DXC,3564155904,mid-cap
DXCM,50660966400,large-cap
DXLG,186145008,micro-cap
DXPE,788951424,small-cap
DXYN,8361567,micro-cap
DY,4073420032,mid-cap
DZSI,36809420,micro-cap
EA,33905326080,large-cap
EAF,442327264,small-cap
EARN,131007560,micro-cap
EAT,2370572544,mid-cap
EB,525292928,small-cap
EBAY,26102124544,large-cap
EBF,514906528,small-cap
EBMT,102614784,micro-cap
EBS,98494704,micro-cap
EBTC,300751360,small-cap
ECL,64658997248,large-cap
ECPG,973294720,small-cap
ED,32636061696,large-cap
EDIT,428442816,small-cap
EDUC,18513556,micro-cap
EE,1813765120,small-cap
EEFT,4708822528,mid-cap
EEX,362569120,small-cap
EFC,973047488,small-cap
EFOI,7329925,micro-cap
EFSC,1425059456,small-cap
EFX,27217905664,large-cap
EGAN,193768144,micro-cap
EGBN,558139136,small-cap
EGHT,272760416,small-cap
EGLE,693163520,small-cap
EGP,7479698432,mid-cap
EGRX,52999040,micro-cap
EGY,667776000,small-cap
EHC,8349672960,mid-cap
EHTH,123856784,micro-cap
EIG,1079379712,small-cap
EIGR,2552120,micro-cap
EIX,27335360512,large-cap
EKSO,22199844,micro-cap
EL,52591575040,large-cap
ELAN,6502316544,mid-cap
ELF,9021536256,mid-cap
ELMD,149644944,micro-cap
ELOX,3021112,micro-cap
ELS,11792603136,large-cap
ELSE,14397683,micro-cap
EME,16810171392,large-cap
EMKR,20953802,micro-cap
EML,197356144,micro-cap
EMN,11106050048,large-cap
EMR,61617823744,large-cap
ENG,8663054,micro-cap
ENPH,14798213120,large-cap
ENR,2061587712,mid-cap
ENS,3655627008,mid-cap
ENSG,6735228416,mid-cap
ENSV,5956519,micro-cap
ENTA,290683424,small-cap
ENTG,20035563520,large-cap
ENV,3418436864,mid-cap
ENVA,1655483392,small-cap
ENZ,53274728,micro-cap
EOG,76003295232,large-cap
EOLS,736727872,small-cap
EPAM,13627670528,large-cap
EPC,1878483200,small-cap
EPM,180664016,micro-cap
EPR,3071360256,mid-cap
EPRT,4617560064,mid-cap
EQBK,510569024,small-cap
EQC,2007214464,mid-cap
EQH,12092306432,large-cap
EQIX,67487326208,large-cap
EQR,24403736576,large-cap
EQT,17703424000,large-cap
ERIE,20009252864,large-cap
ERII,854208064,small-cap
ES,21261070336,large-cap
ESCA,172715536,micro-cap
ESE,2617937408,mid-cap
ESGR,4419779584,mid-cap
ESNT,5654547456,mid-cap
ESP,62955760,micro-cap
ESPR,373119968,small-cap
ESRT,2462851584,mid-cap
ESS,16367080448,large-cap
ESSA,164130304,micro-cap
ESTC,10304593920,large-cap
ETN,127269634048,large-cap
ETR,22749829120,large-cap
ETRN,5867432960,mid-cap
ETSY,8054372864,mid-cap
EVBG,1440828800,small-cap
EVBN,140964816,micro-cap
EVC,216622224,micro-cap
EVER,690413056,small-cap
EVFM,643153,micro-cap
EVH,3223360256,mid-cap
EVI,260076640,small-cap
EVOK,3815010,micro-cap
EVOL,11309139,micro-cap
EVR,6990744576,mid-cap
EVRG,12050178048,large-cap
EVRI,684941760,small-cap
EVTC,2417269760,mid-cap
EW,51022139392,large-cap
EWBC,10363048960,large-cap
EXAS,10911497216,large-cap
EXC,37570043904,large-cap
EXEL,6916007936,mid-cap
EXLS,4807735808,mid-cap
EXP,8637009920,mid-cap
EXPD,15792997376,large-cap
EXPE,17834571776,large-cap
EXPI,1513461888,small-cap
EXPO,4657392128,mid-cap
EXPR,3109395,micro-cap
EXR,29385164800,large-cap
EXTR,1441776000,small-cap
EYE,1368532608,small-cap
EYPT,916680192,small-cap
EZPW,605590912,small-cap
F,48279601152,large-cap
FAF,5556494848,mid-cap
FANG,35870330880,large-cap
FARM,65330636,micro-cap
FARO,355674368,small-cap
FAST,38898843648,large-cap
FATE,449442848,small-cap
FBIO,32121614,micro-cap
FBIZ,274107648,small-cap
FBK,1718789760,small-cap
FBMS,747366144,small-cap
FBNC,1251563136,small-cap
FBP,2875695872,mid-cap
FC,516578016,small-cap
FCAP,92229776,micro-cap
FCBC,610946688,small-cap
FCCO,126107376,micro-cap
FCEL,419292288,small-cap
FCF,1349389696,small-cap
FCFS,5137573376,mid-cap
FCN,7633218048,mid-cap
FCNCA,24335898624,large-cap
FCPT,2159768576,mid-cap
FCX,71913594880,large-cap
FDBC,263529296,small-cap
FDP,1222816256,small-cap
FDS,15890096128,large-cap
FDX,64419082240,large-cap
FE,22065285120,large-cap
FEIM,91078464,micro-cap
FELE,4438162432,mid-cap
FET,229091008,micro-cap
FF,237196544,micro-cap
FFBC,2110921344,mid-cap
FFIC,320336000,small-cap
FFIN,4221670144,mid-cap
FFIV,9721252864,mid-cap
FFNW,186882944,micro-cap
FFWM,309685216,small-cap
FGBI,140427776,micro-cap
FGEN,111411328,micro-cap
FHB,2696187904,mid-cap
FHN,8191079936,mid-cap
FI,89886449664,large-cap
FIBK,2792072448,mid-cap
FICO,28005603328,large-cap
FIS,38137962496,large-cap
FISI,265995600,small-cap
FITB,24931784704,large-cap
FIVE,8083104256,mid-cap
FIVN,4251250688,mid-cap
FIX,11052712960,large-cap
FIXX,3018744,micro-cap
FIZZ,4162587648,mid-cap
FL,1970212480,small-cap
FLIC,212865712,micro-cap
FLL,176410016,micro-cap
FLNT,47175692,micro-cap
FLO,5265556992,mid-cap
FLR,6860617216,mid-cap
FLS,6212905472,mid-cap
FLT,21790322688,large-cap
FLWS,584989568,small-cap
FLXS,169751248,micro-cap
FMAO,280124288,small-cap
FMBH,739618880,small-cap
FMC,7365450752,mid-cap
FMNB,444168000,small-cap
FN,6283895296,mid-cap
FNB,4793942528,mid-cap
FNCB,110869872,micro-cap
FND,11806523392,large-cap
FNF,13525281792,large-cap
FNKO,326119520,small-cap
FNLC,245770272,micro-cap
FNWB,96788704,micro-cap
FOLD,2958798080,mid-cap
FONR,101605160,micro-cap
FOR,1568177664,small-cap
FORD,5408901,micro-cap
FORM,3452077568,mid-cap
FORR,353688192,small-cap
FOSL,40828044,micro-cap
FOX,14189201408,large-cap
FOXA,14165925888,large-cap
FOXF,1634398592,small-cap
FPI,531099616,small-cap
FR,6176166400,mid-cap
FRBA,293125952,small-cap
FRBK,704110,micro-cap
FRD,135549712,micro-cap
FRME,1981264512,small-cap
FRPH,575908160,small-cap
FRPT,5122396160,mid-cap
FRT,8706507776,mid-cap
FSBW,243306784,micro-cap
FSFG,110337056,micro-cap
FSLR,18870800384,large-cap
FSLY,1728268288,small-cap
FSP,192379808,micro-cap
FSS,4961096704,mid-cap
FSTR,255094352,small-cap
FTDR,2393534720,mid-cap
FTEK,38284720,micro-cap
FTI,11041554432,large-cap
FTK,102034184,micro-cap
FTNT,48227000320,large-cap
FTV,26497220608,large-cap
FUL,4070932992,mid-cap
FULT,2684012800,mid-cap
FUNC,150192784,micro-cap
FUSB,59842132,micro-cap
FWONA,16181543936,large-cap
FWONK,16213939200,large-cap
FWRD,580676224,small-cap
G,5543436288,mid-cap
