Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
ATRC,-204.2446,-192.5636,-34.494,-41.894737,-143.76739999999998,Not Ideal
ATRI,2.927,5.9083,-44.5527,,-11.9058,Not Ideal
ATRO,-77.9083,39.7568,-26.0889,14.556436,-21.413466666666665,Not Ideal
ATSG,620.5979,-14.1902,-69.621,12.7255,178.9289,Not Ideal
ATUS,127.0403,-80.3533,-72.6577,7.769231,-8.656900000000002,Not Ideal
AUBN,7.8481,28.6976,-86.5165,,-16.65693333333333,Not Ideal
AUMN,-76.9425,372.8401,-6.8443,-1.2107317,96.35110000000002,Not Ideal
AVA,13.782,5.3226,10.3135,13.78876,9.806033333333334,Not Ideal
AVAV,,-117.9504,4107.5454,47.199444,1994.7975,Not Ideal
AVB,21.3464,13.1909,-18.293,34.93934,5.414766666666668,Not Ideal
AVD,21.9459,47.4364,-72.5624,11.42,-1.060033333333332,Not Ideal
AVGO,127.5676,70.6502,22.5054,25.227316,73.57440000000001,Not Ideal
AVGR,-8.3868,1.2118,3.9551,-0.43333334,-1.0732999999999997,Not Ideal
AVNS,-123.1618,701.5873,-222.3762,9.821622,118.68310000000001,Not Ideal
AVNW,42755.642,-80.7879,-45.5198,8.194712,14209.778099999998,Not Ideal
AVRO,-0.4895,-11.1109,-111.4808,-3.6515152,-41.02706666666666,Not Ideal
AVT,-721.3249,258.5338,11.3304,8.385522,-150.4869,Not Ideal
AVTR,391.0806,19.8917,-53.2265,19.764227,119.24860000000001,Not Ideal
AVXL,44.2478,26.561,-0.9859,-5.609375,23.274299999999997,Ideal 20% - 25%
AVY,33.1355,2.297,-33.5623,20.714422,0.623399999999999,Not Ideal
AWI,-284.8638,10.7533,10.3006,18.272446,-87.93663333333335,Not Ideal
AWK,78.1382,-35.0752,15.122,21.477114,19.395,Not Ideal
AWR,9.1663,-16.9067,59.3461,21.503048,17.2019,Not Ideal
AWRE,-23.5093,-70.364,323.7543,-14.538462,76.627,Not Ideal
AX,17.5912,11.594,27.6047,7.4109197,18.92996666666667,Not Ideal
AXDX,-0.647,-19.5735,-1.4002,-0.4573196,-7.2069,Not Ideal
AXGN,13.4491,7.2744,-24.9827,38.235294,-1.4197333333333333,Not Ideal
AXL,-101.0511,989.8305,-152.2551,13.943397,245.5081,Not Ideal
AXNX,45.8017,-25.4399,-89.802,79.58321,-23.146733333333334,Not Ideal
AXP,157.0973,-6.7742,11.4453,15.95744,53.922799999999995,Not Ideal
AXR,,114.5833,37.3723,,75.9778,Not Ideal
AXS,-613.6925,-63.938,68.678,5.836174,-202.98416666666665,Not Ideal
AXSM,26.7272,43.5044,27.8431,60.569103,32.69156666666667,Not Ideal
AXTA,117.023,-27.3967,39.5616,14.751163,43.06263333333334,Not Ideal
AXTI,350.1235,8.4803,-213.0922,16.75,48.50386666666666,Not Ideal
AYI,23.3588,25.3673,-9.8958,15.2860155,12.943433333333333,Not Ideal
AYX,638.4918,77.2222,-43.8871,28.222221,223.94230000000002,Not Ideal
AZO,25.2365,11.9471,4.0674,17.708242,13.750333333333332,Not Ideal
AZPN,39.244,,,27.195742,39.244,Not Ideal
AZZ,,112.1018,-163.0478,12.932862,-25.473,Not Ideal
B,57.5905,-86.5039,18.6735,16.399998,-3.413300000000001,Not Ideal
BA,-64.8103,17.4441,-54.9747,30.18,-34.11363333333333,Not Ideal
BAC,78.7079,-13.9158,-3.6799,11.308735,20.37073333333333,Ideal 20% - 25%
BAH,,-23.3543,-41.7682,24.977964,-32.56125,Not Ideal
BANC,4727.0956,-30.2073,-548.3189,6.9183173,1382.8564666666664,Not Ideal
BAND,-37.7811,-171.5225,-183.5105,11.402515,-130.93803333333335,Not Ideal
BANF,68.3269,15.1942,10.0285,15.943548,31.183199999999996,Not Ideal
BANR,73.4249,-2.8202,-6.016,8.889337,21.529566666666664,Ideal 20% - 25%
BATRA,-85.8974,210.6545,266.6569,-97.635956,130.47133333333332,Not Ideal
BATRK,-85.8974,210.6545,266.6569,-158.375,130.47133333333332,Not Ideal
BAX,16.5154,-289.486,-209.1656,12.512384,-160.7120666666667,Not Ideal
BBCP,-75.3914,-290.2475,10.8593,9.690142,-118.25986666666667,Not Ideal
BBGI,-92.0868,2891.6122,78.6132,-4.8821425,959.3795333333334,Not Ideal
BBSI,12.7765,24.1314,7.0746,14.297439,14.660833333333334,Not Ideal
BBW,,-305.652,1.5233,7.9687505,-152.06435,Not Ideal
BBY,,36.485,-42.176,11.016369,-2.8455000000000013,Not Ideal
BC,59.1897,14.1075,-37.9025,9.60035,11.798233333333334,Not Ideal
BCBP,64.1655,33.1162,-35.3145,6.1428576,20.655733333333334,Ideal 20% - 25%
BCC,307.1837,20.3754,-43.6074,11.508662,94.65056666666668,Not Ideal
BCLI,-23.1178,-0.736,,-1.9953573,-11.9269,Not Ideal
BCO,557.5,62.1673,-48.5932,9.14939,190.3580333333333,Not Ideal
BCOV,-192.8436,-267.0372,153.8658,-163.0,-102.005,Not Ideal
BCPC,13.5672,9.6385,3.0142,29.096436,8.739966666666666,Not Ideal
BCRX,0.6827,34.2569,-8.3269,-11.885714,8.870899999999999,Not Ideal
BDC,-215.8859,298.3778,-4.6744,11.499314,25.93916666666666,Not Ideal
BDL,961.6216,-46.4358,-36.6445,,292.8471,Not Ideal
BDN,-95.9778,337.9852,-465.6157,-14.075757,-74.53609999999999,Not Ideal
BDSI,230.0533,,,8.873016,230.0533,Not Ideal
BDX,139.3593,-14.9618,-16.5823,16.252264,35.938399999999994,Not Ideal
BE,4.3744,83.288,0.2349,26.784525,29.299099999999996,Not Ideal
BEAT,314.6067,192.7281,12.9378,-3.3728814,173.4242,Not Ideal
BECN,-43.7577,-1107.4725,-5.1047,11.873054,-385.4449666666667,Not Ideal
BELFA,93.9898,112.2759,40.126,12.263159,82.13056666666667,Not Ideal
BELFB,93.9898,112.2759,40.126,10.55635,82.13056666666667,Not Ideal
BEN,129.2152,-29.4506,-31.6665,8.15929,22.699366666666666,Ideal 20% - 25%
BERY,31.127,4.502,-20.4961,6.857831,5.0443,Not Ideal
BFAM,161.0366,14.451,-7.9587,26.625317,55.84296666666666,Not Ideal
BFIN,-19.1313,41.6194,-10.4917,11.517647,3.9987999999999997,Not Ideal
BFS,19.8281,3.7302,4.9707,32.796997,9.509666666666666,Not Ideal
BFST,73.8214,4.0644,30.9428,7.8396955,36.276199999999996,Not Ideal
BG,81.4847,-22.5217,39.3168,10.351833,32.759933333333336,Not Ideal
BGFV,83.0282,-74.475,-127.1026,-23.466665,-39.516466666666666,Not Ideal
BGS,-48.9628,-116.8787,482.2164,11.95914,105.45830000000001,Not Ideal
BGSF,878.7938,79.7505,-140.3099,9.255319,272.7448,Not Ideal
BH,-193.3902,-190.2475,-271.616,-26.838257,-218.4179,Not Ideal
BHB,18.2138,10.8349,2.9731,9.082806,10.673933333333332,Not Ideal
BHE,154.5002,90.7436,-5.7366,12.905737,79.83573333333334,Not Ideal
BHF,-254.8539,136.0925,-128.6672,2.439638,-82.4762,Not Ideal
BHLB,-122.2627,-22.021,-24.7858,8.958848,-56.356500000000004,Not Ideal
BHR,-74.6689,-166.6104,-252.1142,-3.2828574,-164.46450000000002,Not Ideal
