Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
BFST,29994000.0,52136000.0,54255000.0,71043000.0,0.4,0.4599999999999999,0.48,0.5,0.1499999999999997,0.0434782608695653,0.0416666666666667
BG,1145000000.0,2078000000.0,1610000000.0,2243000000.0,2.0,2.05,2.3,2.576,0.0249999999999999,0.1219512195121951,0.1200000000000001
BHB,33244000.0,39299000.0,43557000.0,44852000.0,0.88,0.94,1.02,1.1,0.0681818181818181,0.0851063829787234,0.0784313725490196
BHE,14055000.0,35770000.0,68229000.0,64315000.0,0.64,0.655,0.66,0.66,0.0234375,0.0076335877862595,0.0
BK,3617000000.0,3759000000.0,2573000000.0,3286000000.0,1.24,1.3,1.42,1.58,0.0483870967741935,0.0923076923076922,0.1126760563380282
BKH,227608000.0,236700000.0,258400000.0,262200000.0,2.17,2.29,2.41,2.5,0.0552995391705069,0.0524017467248908,0.0373443983402489
BKU,197853000.0,414984000.0,284971000.0,178671000.0,0.9,0.92,0.98,1.06,0.0222222222222222,0.0652173913043477,0.0816326530612245
BLK,4932000000.0,5901000000.0,5178000000.0,5502000000.0,14.52,16.52,19.52,20.0,0.1377410468319559,0.1815980629539951,0.0245901639344262
BMI,49343000.0,60884000.0,66496000.0,92598000.0,0.7,0.76,0.8500000000000001,0.99,0.0857142857142858,0.118421052631579,0.164705882352941
BMRC,30242000.0,33228000.0,46586000.0,19895000.0,0.92,0.94,0.98,1.0,0.0217391304347825,0.0425531914893617,0.0204081632653061
BOH,153804000.0,253372000.0,225804000.0,171202000.0,2.68,2.74,2.8,2.8,0.0223880597014925,0.0218978102189779,0.0
BOTJ,4980000.0,7589000.0,8959000.0,8704000.0,0.254544,0.267272,0.29,0.32,0.0500031428751022,0.0850369660869824,0.103448275862069
BPOP,506622000.0,934889000.0,1102641000.0,541342000.0,1.6,1.75,2.2,2.27,0.0937499999999999,0.2571428571428572,0.0318181818181817
BPRN,13806000.0,22486000.0,26494000.0,25765000.0,0.4,0.6599999999999999,1.0,1.2,0.6499999999999997,0.5151515151515154,0.1999999999999999
BR,462500000.0,547500000.0,539100000.0,630600000.0,2.23,2.43,2.73,3.05,0.0896860986547086,0.1234567901234567,0.1172161172161171
BRC,112369000.0,129659000.0,149979000.0,174857000.0,0.874,0.885,0.905,0.925,0.0125858123569794,0.0225988700564971,0.0220994475138121
BRKL,47635000.0,115440000.0,109744000.0,74999000.0,0.46,0.48,0.52,0.54,0.0434782608695651,0.0833333333333334,0.0384615384615384
BRKR,157800000.0,277100000.0,296600000.0,427200000.0,0.16,0.16,0.2,0.2,0.0,0.25,0.0
BRO,480500000.0,587100000.0,671800000.0,870500000.0,0.348,0.382,0.424,0.475,0.0977011494252874,0.1099476439790575,0.1202830188679245
