Ticker,2023_MarketCap
HIG,28595073024
HII,11006807040
HIW,2859024384
HL,2960606720
HLF,869142208
HLI,8862149632
HLIT,1246106752
HLNE,6312531968
HLT,50166730752
HLX,1644967808
HMN,1499134848
HMNF,88804944
HMST,230062720
HNI,1979442176
HNRG,183390640
HOFT,182473120
HOG,4678778880
HOLX,17766864896
HOMB,4812100096
HON,126597070848
HONE,469068960
HOPE,1206099968
HOV,926366592
HP,3918474752
HPE,22480560128
HPP,847894976
HPQ,27744829440
HQY,6846593024
HR,5477523968
HRB,6609108992
HRI,4182098944
HRL,19401846784
HROW,371860640
HRTG,310960448
HRTX,360789600
HSIC,9051486208
HSII,599327744
HSON,47451744
HST,13591121920
HSTM,781378048
HSY,40239976448
HTBI,448854688
HTBK,488344320
HTH,1932552960
HTLD,765448192
HTLF,1830581760
HUBB,20799936512
HUBG,2497516032
HUBS,32134313984
HUM,36778713088
HUN,4204643840
HURC,117694080
HURN,1727171584
HUSA,18050092
HVT,502238656
HWBK,131945536
HWC,3999337472
HWKN,1601771264
HXL,5524198400
HY,1027117184
HZO,562044352
IAC,4166741504
IART,2266887424
IBCP,520965056
IBIO,14847001
IBKR,48578039808
IBM,151822139392
IBOC,3507631360
IBP,6834737152
IBTX,1584214144
ICAD,38463952
ICCC,39528608
ICD,28396248
ICE,74686259200
ICFI,2694885120
ICHR,1310100736
ICUI,2351232256
IDA,4781476864
IDCC,2545928704
IDN,63354076
IDT,910653184
IDXG,6214488
IDXX,41919062016
IESC,2792083456
IEX,17009513472
IFF,21805518848
III,166756448
IIIN,625540160
IIIV,759894144
IIPR,2789517312
ILMN,19877414912
ILPT,235715424
IMKTA,1369496192
IMMR,226732912
IMXI,697586048
INBK,271100256
INCY,11607994368
INDB,2159134208
INFN,1139753344
INFU,160548496
INGN,162238144
INGR,7516145152
INN,655241408
INO,297664224
INOD,169642112
INPX,10239505
INSE,228975648
INSG,48703488
INSM,3652967680
INSP,7381482496
INSW,2707030784
INTC,132175806464
INTG,47186928
INTT,142258256
INTU,178084855808
INUV,47682324
