Ticker,2023_MarketCap,Market_Cap_Cat
CHEF,1337983872,small-cap
CHGG,581103616,small-cap
CHH,5896915456,mid-cap
CHK,12008288256,large-cap
CHMG,202909552,micro-cap
CHMI,106479552,micro-cap
CHRS,235508352,micro-cap
CHRW,8134554112,mid-cap
CHTR,37202948096,large-cap
CHUY,522653248,small-cap
CI,101124415488,large-cap
CIA,113357208,micro-cap
CIEN,6805017600,mid-cap
CIM,1010765312,small-cap
CINF,18025502720,large-cap
CIO,186716576,micro-cap
CIVB,227464400,micro-cap
CIX,413989952,small-cap
CIZN,44204472,micro-cap
CKX,29262454,micro-cap
CL,74857037824,large-cap
CLAR,242035776,micro-cap
CLB,755496640,small-cap
CLDT,467051008,small-cap
CLDX,2418256128,mid-cap
CLF,8301477888,mid-cap
CLFD,436936032,small-cap
CLH,10539027456,large-cap
CLIR,38576524,micro-cap
CLNE,532482272,small-cap
CLPR,177574720,micro-cap
CLRB,99684944,micro-cap
CLRO,21914948,micro-cap
CLW,757483840,small-cap
CLX,18346590208,large-cap
CMA,6765914624,mid-cap
CMC,6230875648,mid-cap
CMCO,1203438592,small-cap
CMCSA,149078327296,large-cap
CMCT,78272312,micro-cap
CME,74914627584,large-cap
CMG,87538556928,large-cap
CMI,39319584768,large-cap
CMP,536902336,small-cap
CMRX,84303824,micro-cap
CMS,17933031424,large-cap
CMT,171826672,micro-cap
CMTL,56662864,micro-cap
CNA,11862668288,large-cap
CNC,39031599104,large-cap
CNDT,679132992,small-cap
CNFR,11977220,micro-cap
CNK,2109262208,mid-cap
CNMD,2071038976,mid-cap
CNNE,1237243904,small-cap
CNO,2826942976,mid-cap
CNOB,694212480,small-cap
CNP,18302834688,large-cap
CNS,3457347072,mid-cap
CNSL,512209728,small-cap
CNTY,91079696,micro-cap
CNX,3657958144,mid-cap
CNXN,1652162944,small-cap
CODA,74745360,micro-cap
COF,55125569536,large-cap
COHN,12717144,micro-cap
COHR,8583506944,mid-cap
COHU,1453070848,small-cap
COKE,7697205760,mid-cap
COLB,3942437120,mid-cap
COLD,6296445440,mid-cap
COLL,1242816640,small-cap
COLM,4779290624,mid-cap
COMM,203035424,micro-cap
CONN,91082760,micro-cap
COO,17629657088,large-cap
COOP,5061829120,mid-cap
COP,149918367744,large-cap
COR,47585677312,large-cap
CORR,1627350,micro-cap
CORT,2462494464,mid-cap
COST,319721996288,mega-cap
COTY,10307871744,large-cap
CPB,13475746816,large-cap
CPE,2378336768,mid-cap
CPF,544361472,small-cap
CPHC,117436840,micro-cap
CPIX,23816520,micro-cap
CPK,2343643904,mid-cap
CPRI,4108986624,mid-cap
CPRT,53168848896,large-cap
CPRX,1768984832,small-cap
CPS,264346624,small-cap
CPSH,26207156,micro-cap
CPSI,133326672,micro-cap
CPSS,179604144,micro-cap
CPT,10695050240,large-cap
CR,8254372352,mid-cap
CRAI,1033737664,small-cap
CRBP,367016512,small-cap
CRC,3682188800,mid-cap
CRI,2521688064,mid-cap
CRIS,85817808,micro-cap
CRK,2984843264,mid-cap
CRL,11827909632,large-cap
CRM,264994308096,mega-cap
CRMD,291399840,small-cap
CRMT,366523008,small-cap
CRNX,3426168832,mid-cap
CROX,7675830784,mid-cap
CRS,4235136768,mid-cap
CRUS,4828800512,mid-cap
CRVL,4089982208,mid-cap
CRVS,77235800,micro-cap
CRWS,52227568,micro-cap
CSCO,191303974912,large-cap
CSGP,37726720000,large-cap
CSGS,1432855680,small-cap
CSL,18841268224,large-cap
CSPI,135481680,micro-cap
CSTR,418353376,small-cap
CSV,393740704,small-cap
CSWI,3735876864,mid-cap
CSX,65519480832,large-cap
CTAS,67691552768,large-cap
CTBI,754815872,small-cap
CTHR,10208058,micro-cap
CTLT,10167119872,large-cap
CTMX,111622008,micro-cap
CTO,395546720,small-cap
CTRE,3334327040,mid-cap
CTRN,187061872,micro-cap
CTS,1439062144,small-cap
CTSH,32979210240,large-cap
CTSO,43624332,micro-cap
CUBE,9186195456,mid-cap
CUBI,1486377856,small-cap
CUE,71019216,micro-cap
CULP,57486240,micro-cap
CURO,2891035,micro-cap
CUTR,44911352,micro-cap
CUZ,3554506752,mid-cap
CVBF,2295008256,mid-cap
CVCO,3125558784,mid-cap
CVCY,235332512,micro-cap
CVGI,202430192,micro-cap
CVGW,467435872,small-cap
CVI,3149636096,mid-cap
CVLT,4647341056,mid-cap
CVLY,216437312,micro-cap
CVM,77190256,micro-cap
CVNA,14668872704,large-cap
CVR,15981949,micro-cap
CVS,85340553216,large-cap
CVU,35095084,micro-cap
CVV,30983276,micro-cap
CVX,302910537728,mega-cap
CW,9904184320,mid-cap
CWBC,330605920,small-cap
CWBR,2499959,micro-cap
CWEN,4554389504,mid-cap
CWH,922619712,small-cap
CWST,5293657088,mid-cap
CWT,2826774528,mid-cap
CXW,1665564416,small-cap
CYAN,3185052,micro-cap
CYCC,2782583,micro-cap
CYH,450944640,small-cap
CYRX,813672448,small-cap
CYTK,6404234240,mid-cap
CZNC,265887360,small-cap
CZR,7991203328,mid-cap
CZWI,109274600,micro-cap
