Ticker,2023_PE,Gsector
BMRC,9.284314,Financial Services
BMRN,30.731058,Healthcare
BMY,6.8018274,Healthcare
BNED,-0.5472973,Consumer Cyclical
BOH,15.339573,Financial Services
BOKF,10.660165,Financial Services
BOOM,6.754166,Energy
BOOT,20.982592,Consumer Cyclical
BOTJ,,Financial Services
BOX,14.4375,Technology
BPMC,-33.11511,Healthcare
BPOP,7.7745275,Financial Services
BPRN,8.823881,Financial Services
BPTH,-0.14867462,Healthcare
BR,22.794205,Technology
BRC,13.624715,Industrials
BRID,,Consumer Defensive
BRKL,8.166667,Financial Services
BRKR,23.572271,Healthcare
BRN,,Energy
BRO,21.242188,Financial Services
BRT,-37.08163,Real Estate
BRX,23.594738,Real Estate
BRY,8.608911,Energy
BSET,10.496241,Consumer Cyclical
BSGM,-1.0073078,Healthcare
BSRR,8.278226,Financial Services
BSX,27.367424,Healthcare
BTU,8.493297,Energy
BURL,20.023941,Consumer Cyclical
BUSE,9.701299,Financial Services
BV,14.297468,Industrials
BW,4.01,Industrials
BWA,7.6356325,Consumer Cyclical
BWEN,7.5862074,Industrials
BWFG,6.534119,Financial Services
BWXT,28.34503,Industrials
BXC,10.313489,Industrials
BXMT,9.295812,Real Estate
BXP,30.711166,Real Estate
BY,8.575099,Financial Services
BYD,8.066971,Consumer Cyclical
BYFC,,Financial Services
BYND,-3.5331938,Consumer Defensive
BZH,5.197782,Consumer Cyclical
C,9.219911,Financial Services
CABO,9.369451,Communication Services
CAC,9.223404,Financial Services
CACC,12.28981,Financial Services
CACI,17.460972,Technology
CADE,10.089605,Financial Services
CAG,11.400369,Consumer Defensive
CAH,13.036802,Healthcare
CAKE,10.128281,Consumer Cyclical
CAL,7.3980002,Consumer Cyclical
CALA,-0.014814815,Healthcare
CALM,24.21179,Consumer Defensive
CALX,21.984253,Technology
CAMP,3.2777777,Technology
CAPR,52.800003,Healthcare
CAR,5.6961584,Industrials
CARA,-0.725,Healthcare
CARG,14.619355,Consumer Cyclical
CARS,24.529411,Consumer Cyclical
CASA,-0.175,Technology
CASH,7.6288657,Financial Services
CASI,6.882353,Healthcare
CASS,14.177631,Industrials
CASY,22.845879,Consumer Cyclical
CAT,15.039138,Industrials
CATC,10.0672,Financial Services
CATO,3.7,Consumer Cyclical
CATY,8.354241,Financial Services
CB,10.56459,Financial Services
