Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
BOX,,-4.5449,-164.6012,14.4375
BPMC,-305.1997,-13.4405,-9.0639,-33.11511
BPOP,84.5338,17.9435,-50.905,7.7745275
BPRN,62.8712,17.8244,-2.7516,8.823881
BPTH,-4.0618,32.8352,15.936,-0.14867462
BR,18.3784,-1.5342,16.9727,22.794205
BRC,15.3868,15.6719,16.5877,13.624715
BRID,-175.1468,-918.9351,-92.2913,
BRKL,142.3428,-4.9342,-31.66,8.166667
BRKR,75.602,7.0372,44.0324,23.572271
BRN,-231.476,-11.8343,-117.4315,
BRO,22.1852,14.4268,29.5773,21.242188
BRT,-246.5814,71.5841,-92.247,-37.08163
BRX,122.9762,31.0918,-13.8642,23.594738
BRY,-94.0881,-1709.6255,-85.05,8.608911
BSET,-273.1312,262.1827,-104.8527,10.496241
BSGM,-38.8774,-15.2427,7.3525,-1.0073078
BSRR,21.352,-21.7451,3.5206,8.278226
BSX,-1369.5122,-32.9491,128.2235,27.367424
BTU,-119.2536,260.2055,-41.4386,8.493297
BURL,,-288.8411,-43.7131,20.023941
BUSE,23.0258,3.9385,-4.4782,9.701299
BV,-211.2981,-69.7624,-155.0,14.297468
BW,-399.4185,-173.9982,762.6394,4.01
BWA,7.4,75.7914,-33.7924,7.6356325
BWEN,-291.4593,-441.7633,-178.6125,7.5862074
BWFG,350.3049,40.7846,-2.0465,6.534119
BWXT,9.761,-22.127,3.2151,28.34503
BXC,266.1297,0.0145,-83.6124,10.313489
BXMT,204.4912,-40.6856,-0.8394,9.295812
BXP,-42.1131,68.0434,-77.594,30.711166
BY,147.6446,-5.2067,22.6528,8.575099
BYD,-444.3549,37.8425,-3.027,8.066971
BYFC,530.8411,-239.1605,,
BYND,245.2097,101.0582,-7.6455,-3.5331938
BZH,133.6403,80.8738,-28.1341,5.197782
C,98.7146,-32.3752,-37.8377,9.219911
CABO,-4.1286,-19.7742,14.2313,9.369451
CAC,16.0172,-10.976,-29.3885,9.223404
CACC,127.6247,-44.0885,-46.6032,12.28981
CACI,42.2928,-19.8165,4.8913,17.460972
CADE,-14.4218,137.3602,17.0684,10.089605
CAG,54.6006,-31.6138,-23.0354,11.400369
